artist,related_artists
A Guy Called Gerald,"['808 State', 'Goldie', 'Photek', 'LFO', 'Alex Reece', 'Roni Size', 'LTJ Bukem', 'Doc Scott', 'Joey Beltram', 'The Future Sound Of London', 'The Sabres Of Paradise', 'Altern 8', 'Phuture', 'Derrick May', '4hero', 'Mr. Fingers', 'Peshay', 'Model 500', 'Krust', 'Kenny Larkin']"
A Perfect Circle,"['Puscifer', 'TOOL', 'Filter', 'Chevelle', 'Nine Inch Nails', 'Mudvayne', 'Sevendust', 'Orgy', 'Primus', 'The Mars Volta', 'Mastodon', 'White Zombie', 'ASHES dIVIDE', 'Static-X', 'Incubus', 'Taproot', 'Coal Chamber', 'Stabbing Westward', 'Karnivool', 'Mad Season']"
A Tribe Called Quest,"['De La Soul', 'The Pharcyde', 'Q-Tip', 'Mos Def', 'Digable Planets', 'Black Star', 'The Roots', 'Gang Starr', 'Talib Kweli', 'J Dilla', 'Eric B. & Rakim', 'Souls Of Mischief', 'Common', 'Pete Rock & C.L. Smooth', 'Slum Village', 'Pete Rock', 'KRS-One', 'GZA', 'Slick Rick', 'Madlib']"
A$AP Rocky,"['A$AP Ferg', 'Joey Bada$$', 'ScHoolboy Q', 'A$AP Mob', 'Kid Cudi', 'Baby Keem', 'Pusha T', 'Playboi Carti', 'Denzel Curry', 'Young Thug', 'Chief Keef', 'Lil Yachty', 'Don Toliver', 'Ty Dolla $ign', 'Earl Sweatshirt', 'Tyler, The Creator', 'Lil Uzi Vert', '21 Savage', 'Migos', 'J. Cole']"
A7S,"['Lagique', 'Miggy Dela Rosa', 'Topic', 'Goodboys', 'BYOR', 'FAST BOY', 'Norma Jean Martine', 'James Carter', 'Kenny Dope', 'Sevek', 'Mufasa & Hypeman', 'CERES', 'Tess Burrstone', 'Chris de Sarandy', 'Alika', 'Felix Samuel', 'twocolors', 'Masove', 'Brando', 'Paradigm']"
ABBA,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher', 'Tina Turner', 'Donna Summer', 'Elton John', 'Elvis Presley', 'Wham!', 'Simon & Garfunkel', 'Billy Joel', 'Neil Diamond', 'Cyndi Lauper', 'Rod Stewart', 'George Michael', 'Queen', 'Phil Collins', 'Carpenters', 'David Bowie']"
ABC,"['Heaven 17', 'Haircut 100', 'Howard Jones', 'Kajagoogoo', 'Blancmange', 'Scritti Politti', 'Thompson Twins', 'China Crisis', 'Ultravox', 'The Human League', 'Thomas Dolby', 'Go West', 'Fun Boy Three', 'Visage', 'Nik Kershaw', 'Curiosity Killed The Cat', 'Living In A Box', 'Adam & The Ants', 'The Blow Monkeys', 'Altered Images']"
ABRA,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher', 'Tina Turner', 'Donna Summer', 'Elton John', 'Elvis Presley', 'Wham!', 'Simon & Garfunkel', 'Billy Joel', 'Neil Diamond', 'Cyndi Lauper', 'Rod Stewart', 'George Michael', 'Queen', 'Phil Collins', 'Carpenters', 'David Bowie']"
AC/DC,"['Aerosmith', 'Slash', 'KISS', 'AC/DC', 'Bon Jovi', 'Mötley Crüe', 'Scorpions', 'Van Halen', 'Poison', 'Def Leppard', 'Metallica', 'Ozzy Osbourne', 'Skid Row', 'Black Sabbath', 'Iron Maiden', 'Alice Cooper', 'Led Zeppelin', 'Whitesnake', 'Twisted Sister', 'Deep Purple']"
AFI,"['Say Anything', 'Taking Back Sunday', 'Thursday', 'Bayside', 'Saves The Day', 'The Wonder Years', 'The Early November', 'Senses Fail', 'Tigers Jaw', 'Balance And Composure', 'Motion City Soundtrack', 'Circa Survive', 'Straylight Run', 'The Starting Line', 'Citizen', 'Armor For Sleep', 'Moose Blood', 'Something Corporate', 'Finch', 'La Dispute']"
AFX,"['Polygon Window', 'µ-Ziq', 'Mike & Rich', 'Cylob', 'Ceephax Acid Crew', 'Luke Vibert', 'Autechre', 'Squarepusher', 'LFO', 'Gak', 'Richard D. James', 'Plaid', 'Bogdan Raczynski', 'Gescom', 'Two Lone Swordsmen', 'Venetian Snares', 'The Black Dog', 'B12', 'Clark', 'Wagon Christ']"
AJ Tracey,"['MoStack', 'Hardy Caprio', 'Not3s', 'JAY1', 'Krept & Konan', 'Fredo', 'Headie One', 'Young T & Bugsey', 'Aitch', 'J Hus', 'MIST', 'GRM Daily', 'Bugzy Malone', 'Giggs', 'Unknown T', 'Yxng Bane', 'Steel Banglez', 'Yungen', 'Chip', 'SL']"
ALO,"['Zach Gill', 'Tea Leaf Green', 'G. Love & Special Sauce', 'Barefoot Truth', 'John Cruz', 'Matt Costa', 'Keller Williams', 'Spafford', 'Perpetual Groove', 'Forest Sun', 'Bag of Toys', 'Assembly of Dust', 'moe.', 'The Motet', 'Railroad Earth', 'Donavon Frankenreiter', 'Trey Anastasio', 'Mat McHugh', 'The String Cheese Incident', 'Leftover Salmon']"
ANAÏS MVA,"['Dinaa', 'Zélie', 'Nochka', 'Satine', 'RandJess', 'Bey', 'Noée', 'JusteNiels', 'Lisa Pariente', 'Styleto', 'Solann', 'Lilian Barbe', 'Séleste', 'Roxaane', 'Louisette', 'Princesse', 'Yoa', 'Shikki', 'DIEGO', 'Tsew The Kid']"
