artist,related_artists
DEVO,"[""The B-52's"", 'Oingo Boingo', 'Adam Ant', 'Wall Of Voodoo', 'XTC', 'Missing Persons', 'Gary Numan', 'Public Image Ltd.', 'Thomas Dolby', ""The Go-Go's"", 'Adam & The Ants', 'Bow Wow Wow', 'Gang Of Four', 'A Flock Of Seagulls', 'Modern English', 'Men Without Hats', 'The English Beat', 'The Psychedelic Furs', 'Tom Tom Club', 'Television']"
DIIV,"['Wild Nothing', 'Beach Fossils', 'Deerhunter', 'Craft Spells', 'Real Estate', 'Cloud Nothings', ""Melody's Echo Chamber"", 'Ringo Deathstarr', 'Yuck', 'Ride', 'Preoccupations', 'Black Marble', 'bdrmm', 'Ariel Pink', 'Ty Segall', 'Ducktails', 'A Place To Bury Strangers', 'Nothing', 'The Horrors', 'Wavves']"
DISPATCH,"['State Radio', 'Chadwick Stokes', 'O.A.R.', 'G. Love & Special Sauce', 'Barefoot Truth', 'Citizen Cope', 'Twiddle', 'Current Swell', 'Slightly Stoopid', 'ALO', 'Keller Williams', 'Pepper', 'Trevor Hall', 'moe.', 'Guster', 'The Wood Brothers', 'The String Cheese Incident', ""Umphrey's McGee"", 'Donavon Frankenreiter', 'Nahko And Medicine For The People']"
DJ Cam,"['DJ Food', 'DJ KRUSH', '9 Lazy 9', 'Funki Porcini', 'DJ Vadim', 'Up, Bustle & Out', 'London Funk Allstars', 'The Herbaliser', 'Fila Brazillia', 'Kid Loco', 'Tosca', 'The Dining Rooms', 'Peace Orchestra', 'DJ Cam Quartet', 'Coldcut', 'Hexstatic', 'Boozoo Bajou', 'Dzihan & Kamien', 'Kruder & Dorfmeister', 'Rae & Christian']"
DJ Die,"['Krust', 'Lemon D', 'Digital', 'Shimon', 'Mampi Swift', 'J Majik', 'Ray Keith', 'Twisted Individual', 'Doc Scott', 'Moving Fusion', 'Ram Trilogy', 'Optical', 'Q Project', 'Future Cut', 'Taxman', 'Total Science', 'Jonny L', 'Grooverider', 'Origin Unknown', 'DJ Ss']"
DJ Food,"['Hexstatic', 'Up, Bustle & Out', 'London Funk Allstars', 'Funki Porcini', 'Coldcut', '9 Lazy 9', 'DJ Vadim', 'The Herbaliser', 'DJ Cam', 'Kid Koala', 'DJ KRUSH', 'Cujo', 'Cut Chemist', 'Dynamic Syncopation', 'Red Snapper', 'Wagon Christ', 'Mr. Scruff', 'Fila Brazillia', 'Animals on Wheels', 'The Clifford Gilberto Rhythm Combination']"
DJ Format,"['Abdominal', 'DJ Yoda', 'Ugly Duckling', 'DJ Nu-Mark', 'Cut Chemist', 'Abdominal and The Obliques', 'The Nextmen', 'Rodney P', 'Rob Swift', 'DJ Qbert', 'Andy Cooper', 'DJ Food', 'Krafty Kuts', 'Mix Master Mike', 'Braintax', 'DJ Vadim', 'Fingathing', 'Roots Manuva', 'Chali 2na', 'The Herbaliser']"
DJ Hype,"['The Ganja Kru', 'Ray Keith', 'Mampi Swift', 'Dillinja', 'Ram Trilogy', 'Grooverider', 'DJ Hazard', 'Origin Unknown', 'Ed Rush', 'Krust', 'Shimon', 'Lemon D', 'DJ Zinc', 'Twisted Individual', 'Optical', 'DJ Die', 'Kenny Ken', 'DJ Ss', 'Bad Company UK', 'Moving Fusion']"
DJ Jazzy Jeff & The Fresh Prince,"[""Kid 'N Play"", 'Rob Base & DJ EZ Rock', 'Wreckx-N-Effect', 'Tone-Loc', 'Heavy D & The Boyz', 'Doug E. Fresh', 'Marky Mark And The Funky Bunch', 'Fat Boys', 'Young MC', 'Heavy D', 'Kris Kross', 'Kool Moe Dee', 'MC Hammer', 'Another Bad Creation', 'Doug E. Fresh & The Get Fresh Crew', 'Kurtis Blow', 'Digital Underground', 'Biz Markie', 'Whodini', 'C & C Music Factory']"
DJ KRUSH,"['DJ Food', 'DJ Cam', 'DJ Vadim', 'The Herbaliser', 'Cut Chemist', 'Funki Porcini', 'Kid Koala', 'Coldcut', 'DJ Shadow', 'Amon Tobin', 'London Funk Allstars', 'Up, Bustle & Out', '9 Lazy 9', 'Hexstatic', 'DJ Qbert', 'Red Snapper', 'Kruder & Dorfmeister', 'Blockhead', 'Mr. Scruff', 'Kid Loco']"
DJ Kool Herc,"['Afrika Bambaataa', 'Grandmaster Flash', 'Grandmaster Flash & The Furious Five', 'Mr. Green', 'The Sugarhill Gang', 'Jungle Brothers', 'Big Daddy Kane', 'KRS-One', 'DJ Premier', 'Boogie Down Productions', 'Eric B. & Rakim', 'Rakim', 'Pete Rock', 'Kool G Rap', 'EPMD', 'Public Enemy', 'Brand Nubian', 'Jeru The Damaja', 'Cold Crush Brothers', 'Guru']"
DJ Luck & MC Neat,"['Oxide & Neutrino', 'DJ Pied Piper & The Masters Of Ceremonies', 'So Solid Crew', 'Sweet Female Attitude', 'Heartless Crew', 'Artful Dodger', 'Jaimeson', 'Monsta Boy', 'Wideboys', 'Architechs', 'Glamma Kid', 'DJ Luck', 'Lonyo', 'Sticky', 'Wookie', 'Tina Moore', 'Kele Le Roc', 'MC Neat', 'Scott Garcia', 'Shola Ama']"
DJ Pied Piper & The Masters Of Ceremonies,"['Shanks & Bigfoot', 'Oxide & Neutrino', 'Monsta Boy', 'DJ Luck & MC Neat', '3 Of A Kind', 'DJ Luck', 'Architechs', 'MC Neat', 'Sweet Female Attitude', 'Jaimeson', 'Wideboys', 'Kele Le Roc', 'Lonyo', 'So Solid Crew', '10 Below & Kele Le Roc', 'Glamma Kid', 'Heartless Crew', 'Artful Dodger', 'MC Styles', 'Tina Moore']"
DJ Premier,"['Large Professor', 'Pete Rock', 'Pete Rock & C.L. Smooth', 'Group Home', 'Jeru The Damaja', 'Diamond D', 'Smif-N-Wessun', 'Lord Finesse', 'Masta Ace', 'D.I.T.C.', 'Sean Price', 'Kool G Rap', 'Hi-Tek', 'O.C.', 'Sadat X', 'Black Moon', 'Showbiz & A.G.', 'Heltah Skeltah', 'Havoc', 'Afu-Ra']"
DJ Qbert,"['Invisibl Skratch Piklz', 'Mix Master Mike', 'D-Styles', 'Rob Swift', 'DJ Babu', 'DJ Revolution', 'DJ Faust', 'X-Ecutioners', 'Shortkut', 'Cut Chemist', 'Mr. Dibbs', 'Z-Trip', 'Dan The Automator', 'DJ Nu-Mark', 'DJ Flare', 'Peanut Butter Wolf', 'Dr. Octagon', 'DJ Format', 'Kool Keith', 'Kid Koala']"
DJ Shadow,"['DJ KRUSH', 'Cut Chemist', 'UNKLE', 'Kid Koala', 'RJD2', 'The Herbaliser', 'Amon Tobin', 'Tricky', 'DJ Food', 'Blockhead', 'Nightmares On Wax', 'Boards of Canada', 'Mr. Scruff', 'Roots Manuva', 'Handsome Boy Modeling School', 'Squarepusher', 'DJ Cam', 'Coldcut', 'DJ Vadim', 'Burial']"
DJ Vadim,"['DJ Food', 'The Herbaliser', 'Up, Bustle & Out', 'One Self', 'DJ Cam', 'DJ KRUSH', 'Hexstatic', 'Coldcut', 'Kid Koala', 'London Funk Allstars', 'Cut Chemist', 'Funki Porcini', 'Roots Manuva', 'Mr. Scruff', 'DJ Format', '9 Lazy 9', 'The Nextmen', 'DJ Nu-Mark', 'DJ Qbert', 'Aim']"
DMX,"['Busta Rhymes', 'Xzibit', 'G-Unit', 'Method Man', 'Redman', 'Ruff Ryders', 'Fat Joe', 'Big Pun', 'LL COOL J', 'Nate Dogg', 'The Game', 'Makaveli', 'Jadakiss', 'Ludacris', 'Ja Rule', 'Lloyd Banks', 'Warren G', 'Mobb Deep', ""Ol' Dirty Bastard"", 'Bone Thugs-N-Harmony']"
DOWN,"['Superjoint', 'Crowbar', 'Corrosion Of Conformity', 'Damageplan', 'Kingdom Of Sorrow', 'Eyehategod', 'Rebel Meets Rebel', 'Dimebag Darrell', 'Prong', 'Orange Goblin', 'High On Fire', 'Cavalera Conspiracy', 'Rex Brown', 'Alabama Thunderpussy', 'Nailbomb', 'Soulfly', 'Biohazard', 'Clutch', 'Monster Magnet']"
DUCKBOY,"['RUBY DA $LOTH', 'Scrim', 'Germ', 'Chetta', '$lim Gucci', 'FTP', 'Shakewell', 'Ramirez', 'Black Smurf', 'All But 6', 'City Morgue', 'Pouya', 'ZillaKami', 'Sunrise the Plague', 'SosMula', 'JGRXXN']"
Da Brat,"['MC Lyte', 'Heavy D', 'Foxy Brown', 'Jermaine Dupri', 'Total', 'Junior M.A.F.I.A.', ""Kid 'N Play"", 'Remy Ma', 'Heavy D & The Boyz', ""Lil' Mo"", 'Adina Howard', 'Charli Baltimore', 'Kris Kross', 'Doug E. Fresh', 'Shawnna', 'Mase', 'Monifah', 'Trina', 'Another Bad Creation', 'Eve']"
Da Lata,"['Zeep', 'Chris Franck', 'Suba', 'Trüby Trio', 'Bembe Segue', 'Nicola Conte', 'Two Banks Of Four', 'Kyoto Jazz Massive', 'Zuco 103', 'Sabrina Malheiros', 'S-Tone Inc', 'Domu', 'Gerardo Frisina', 'Dego', '4hero', 'Nina Miranda', 'Adriana Vasques', 'Vanessa Freeman', 'Nuspirit Helsinki', 'Jazzanova']"
Daevid Allen,"['Gilli Smyth', 'Steve Hillage', 'Mother Gong', 'Daevid Allen & Kramer', 'Gong', 'Daevid Allen And Mother Gong', 'Nik Turner', 'Here & Now', 'Kevin Ayers', 'Matching Mole', 'Robert Calvert', 'Hatfield & The North', 'Robert Wyatt', 'Soft Machine', 'Tim Blake', 'Gong Maison', 'The Wilde Flowers', 'Inner City Unit', 'Shankara Andy Bole', 'Caravan']"
Daft Punk,"['Justice', 'The Chemical Brothers', 'Kavinsky', 'Gorillaz', 'deadmau5', 'MGMT', 'Fatboy Slim', 'Moby', 'The Strokes', 'Jamiroquai', 'Muse', 'Phoenix', 'Massive Attack', 'Franz Ferdinand', 'Radiohead', 'Tame Impala', 'Blur', 'The White Stripes', 'Foster The People', 'Disclosure']"
Dag Nasty,"['7 Seconds', 'CIV', 'Government Issue', 'Embrace', 'Uniform Choice', 'Youth Of Today', 'Gorilla Biscuits', 'All', 'Down By Law', 'Pegboy', 'Teen Idles', 'Judge', 'Farside', 'Bold', 'Lifetime', 'Better Than A Thousand', 'Insted', 'Shelter', 'Chain Of Strength', 'JFA']"
Dakota Staton,"['Ernestine Anderson', 'Morgana King', 'Chris Connor', 'Annie Ross', 'Joe Williams', 'Betty Carter', 'Paul Callander', 'Lorez Alexandria', 'Sue Raney', 'Jan Geijtenbeek', 'Eric Reed Trio', 'June Christy', 'Billy Eckstine', 'Etta Jones', 'Jeri Southern', 'Irene Kral', 'Carmen McRae', 'Johnny Hartman', 'Margaret Whiting', ""Anita O'Day""]"
Damian Marley,"['Stephen Marley', 'Ky-Mani Marley', 'Julian Marley', 'Alborosie', 'Ziggy Marley', 'Protoje', 'Capleton', 'Skip Marley', 'Sizzla', 'Collie Buddz', 'Anthony B', 'Chronixx', 'Buju Banton', 'Kabaka Pyramid', 'Ziggy Marley & The Melody Makers', 'Barrington Levy', 'Nas & Damian ""Jr. Gong"" Marley', 'Jo Mersa Marley', 'Peter Tosh', 'Steel Pulse']"
Damien Rice,"['Glen Hansard', 'Lisa Hannigan', 'David Gray', 'Ray LaMontagne', 'Iron & Wine', 'The Frames', 'The Swell Season', 'Ben Howard', 'José González', 'James Vincent McMorrow', 'Alexi Murdoch', 'Paolo Nutini', 'Angus & Julia Stone', 'William Fitzsimmons', 'The National', 'Ryan Adams', 'Bon Iver', 'Keaton Henson', 'Daughter', 'Sigur Rós']"
Damn Yankees,"['Winger', 'Bad English', 'Slaughter', 'Nelson', 'Trixter', 'Kix', 'Night Ranger', 'Great White', 'Autograph', 'Tesla', 'Faster Pussycat', 'Bulletboys', 'Britny Fox', 'Lita Ford', 'Danger Danger', 'Jackyl', 'Warrant', 'White Lion', 'Firehouse', 'Dokken']"
Damon Albarn,"['The Good, the Bad & the Queen', 'Graham Coxon', 'Rocket Juice & The Moon', 'Jarvis Cocker', 'Atoms For Peace', 'Thom Yorke', 'Blur', 'Pulp', 'Jonny Greenwood', 'The Smile', 'Suede', 'Primal Scream', 'Supergrass', 'Beck', 'Peter Doherty', 'Air', 'LCD Soundsystem', 'PJ Harvey', 'The Horrors', 'The WAEVE']"
Dan Auerbach,"['The Arcs', 'The Dead Weather', 'The Raconteurs', 'Patrick Sweany', 'Radio Moscow', 'Jack White', 'Black Rebel Motorcycle Club', 'Band Of Skulls', 'Benjamin Booker', 'Black Joe Lewis & The Honeybears', 'Gary Clark Jr.', 'Black Pistol Fire', 'The Black Keys', 'The Stone Foxes', 'Heartless Bastards', 'The Heavy', 'Hanni El Khatib', 'Spoon', 'Eagles Of Death Metal', 'Them Crooked Vultures']"
Dan Deacon,"['Avey Tare', 'Panda Bear', 'Black Moth Super Rainbow', 'Animal Collective', 'TOBACCO', 'The Books', 'Deakin', 'Battles', 'The Octopus Project', 'Atlas Sound', 'Fuck Buttons', ""Avey Tare's Slasher Flicks"", 'Dirty Projectors', 'Deerhoof', 'Deerhunter', 'Liars', 'Destroyer', 'Tune-Yards', 'Holy Fuck', 'of Montreal']"
Dan Fogelberg,"['Loggins & Messina', 'Seals and Crofts', 'England Dan & John Ford Coley', 'Firefall', 'Pure Prairie League', 'Poco', 'Harry Chapin', 'Orleans', 'Gordon Lightfoot', 'Pablo Cruise', 'David Gates', 'Stephen Bishop', 'Glenn Frey', 'Little River Band', 'Ambrosia', 'Bread', 'Art Garfunkel', 'Carly Simon', 'Boz Scaggs', 'Three Dog Night']"
Dan The Automator,"['Dr. Octagon', 'DJ Qbert', 'Prince Paul', 'Handsome Boy Modeling School', 'Cut Chemist', 'Kool Keith', 'Deltron 3030', 'Mix Master Mike', 'Kid Koala', 'Rob Swift', 'Peanut Butter Wolf', 'Del The Funky Homosapien', 'Mr. Lif', 'Aceyalone', 'Gift Of Gab', 'Blackalicious', 'Latyrx', 'Hieroglyphics', 'DJ Babu', 'Lyrics Born']"
Dancing Mood,"['Mimi Maura', 'Karamelo Santo', 'El Natty Combo', 'Hugo Lobo', 'Riddim', 'Willy Crook', 'Nonpalidece', ""Lo' Pibitos"", 'Las manos de Filippi', 'Militantes del Climax', 'Resistencia Suburbana', 'Kameleba', 'Arbolito', 'Sig Ragga', 'Todos Tus Muertos', 'Tapones de Punta', 'Sumo', 'Mustafunk', 'Javier Malosetti', 'Morbo y Mambo']"
Daniel Caesar,"['Sonder', 'Brent Faiyaz', 'Giveon', 'H.E.R.', 'Omar Apollo', 'Steve Lacy', 'Frank Ocean', 'Bruno Major', 'Summer Walker', 'Miguel', 'Bryson Tiller', 'wave to earth', 'Rex Orange County', 'PARTYNEXTDOOR', 'UMI', 'Mac Ayres', 'Jhené Aiko', 'RINI', 'The Internet', 'SiR']"
Daniel Johnston,"['The Microphones', 'Beat Happening', 'Slint', 'Galaxie 500', 'Jeff Mangum', 'Mount Eerie', 'Silver Jews', 'Jeffrey Lewis', 'The Moldy Peaches', 'Neutral Milk Hotel', 'Yo La Tengo', 'Broadcast', 'Xiu Xiu', 'Guided By Voices', 'Pavement', 'Suicide', 'Sparklehorse', 'Built To Spill', 'The Modern Lovers', 'The Magnetic Fields']"
Danielle Bradbery,"['Cassadee Pope', 'RaeLynn', 'Lauren Alaina', 'Jana Kramer', 'Carly Pearce', 'Runaway June', 'Lindsay Ell', 'Maddie & Tae', 'Thompson Square', 'Jessie James Decker', 'The Tano Jones Revelry', 'Tenille Arts', 'Cam', 'Tenille Townes', 'Scotty McCreery', 'Tyler Farr', 'Scott Scovill', 'Ashley McBryde', 'Love and Theft', 'Gloriana']"
Danko Jones,"['Backyard Babies', 'Mustasch', 'Gluecifer', 'The Hellacopters', 'Turbonegro', 'Hardcore Superstar', 'Nashville Pussy', 'Thundermother', 'Airbourne', 'Royal Republic', 'Imperial State Electric', 'Monster Magnet', 'Monster Truck', 'Peter Pan Speedrock', 'Phil Campbell and the Bastard Sons', 'The Lazys', 'Black Stone Cherry', 'The Carburetors', 'The Dead Daisies', 'Clutch']"
Danny & The Juniors,"['The Monotones', 'The Crests', 'The Diamonds', 'The Del-Vikings', 'Bobby Freeman', 'The Marcels', 'The Dovells', 'The Belmonts', 'Buddy Knox', 'The Earls', 'The Cleftones', 'Freddy Cannon', 'Larry Williams', 'The Mystics', 'The Cadillacs', 'The Silhouettes', 'The Elegants', 'The Duprees', 'Frankie Lymon & The Teenagers', 'The Edsels']"
Danny Brown,"['JPEGMAFIA', 'Injury Reserve', 'billy woods', 'Death Grips', 'Armand Hammer', 'Freddie Gibbs', 'Lil Ugly Mane', 'Earl Sweatshirt', 'Vince Staples', 'Madlib', 'Domo Genesis', 'Ab-Soul', 'Mach-Hommy', 'Madvillain', 'Devon Hendryx', 'MIKE', 'clipping.', 'Zelooperz', 'Action Bronson', 'Quelle Chris']"
Danny Wilson,"['The Bluebells', 'Hue and Cry', 'Hipsway', 'Then Jerico', 'The Kane Gang', 'The Big Dish', 'Love & Money', 'Climie Fisher', 'The Christians', 'Curiosity Killed The Cat', 'Nick Heyward', 'The Blow Monkeys', 'The Adventures', 'Feargal Sharkey', 'Living In A Box', 'The Lotus Eaters', 'Stephen Duffy', 'Aztec Camera', 'Roddy Frame', 'Deacon Blue']"
Danzig,"['Corrosion Of Conformity', 'Suicidal Tendencies', 'White Zombie', 'Mercyful Fate', 'King Diamond', 'Gwar', 'DOWN', 'Anthrax', 'Prong', 'Misfits', 'Venom', 'Exodus', 'Black Label Society', 'Testament', 'D.R.I.', 'Celtic Frost', 'Type O Negative', 'Overkill', 'Ministry', 'Black Flag']"
Dar Williams,"['Cry Cry Cry', 'Lucy Kaplansky', 'Catie Curtis', 'Cheryl Wheeler', 'Richard Shindell', 'Antje Duvekot', 'Patty Larkin', 'Melissa Ferrick', 'Amy Ray', 'Girlyman', 'Shawn Colvin', 'Kris Delmhorst', 'Patty Griffin', 'John Gorka', 'Tracy Grammer', 'The Nields', 'Indigo Girls', 'Erin McKeown', 'Jonatha Brooke', 'Eliza Gilkyson']"
Dark Angel,"['Sadus', 'Forbidden', 'Vio-Lence', 'Morbid Saint', 'Demolition Hammer', 'Razor', 'Whiplash', 'Toxik', 'Evildead', 'Hirax', 'Artillery', 'Exumer', 'Nuclear Assault', 'Coroner', 'Exciter', 'Mortal Sin', 'Sacrifice', 'Agent Steel', 'Possessed', 'Hallows Eve']"
Darkthrone,"['Carpathian Forest', 'Emperor', 'Bathory', 'Immortal', 'Gorgoroth', 'Marduk', 'Nargaroth', 'Taake', 'Burzum', 'Hellhammer', 'Dark Funeral', 'Mutiilation', 'Morbid', 'Xasthur', 'Dissection', '1349', 'Tsjuder', 'Watain', 'Leviathan', 'Satyricon']"
Darkwood Dub,"['Kanda Kodža i Nebojša', 'Obojeni Program', 'Jarboli', 'Goribor', 'Block Out', 'Disciplin A Kitschme', 'Del Arno Band', 'Nikola Vranjković', 'E-Play', 'Veliki Prezir', 'Bjesovi', 'Eyesburn', 'Nežni Dalibor', 'Deca Losih Muzicara', 'Eva Braun', 'Svi na pod', 'Artan Lili', 'Repetitor', 'Irie FM', 'Disciplina kicme']"
Darondo,"['Shuggie Otis', 'Cymande', 'Lee Fields & The Expressions', 'Menahan Street Band', 'El Michels Affair', 'Ebo Taylor', 'Sharon Jones & The Dap-Kings', 'Syl Johnson', 'The Equatics', 'Amanaz', 'Ann Peebles', 'Gil Scott-Heron', 'Charles Bradley', 'William Onyeabor', 'Lafayette Afro Rock Band', 'Idris Muhammad', 'Mulatu Astatke', 'Little Beaver', 'The Budos Band', 'Lee Fields']"
Daryl Braithwaite,"['Wendy Matthews', 'James Reyne', 'Choirboys', 'Noiseworks', '1927', 'Ian Moss', 'Johnny Diesel & The Injectors', 'Kate Ceberano', 'Sherbet', 'Mondo Rock', 'Diesel', 'Shannon Noll', 'John Farnham', 'Boom Crash Opera', 'The Black Sorrows', 'Skyhooks', 'Daddy Cool', 'Mental As Anything', 'Goanna', 'Richard Clapton']"
Daryl Hall & John Oates,"['Huey Lewis & The News', 'Kenny Loggins', 'Rick Springfield', 'Daryl Hall', 'The Doobie Brothers', 'The Cars', 'Robert Palmer', 'Steve Winwood', 'Michael McDonald', 'Starship', 'Eddie Money', 'Don Henley', 'Pat Benatar', 'Chicago', 'REO Speedwagon', 'Glenn Frey', 'John Mellencamp', 'Foreigner', 'Styx', 'Jefferson Starship']"
Das EFX,"['FU-Schnickens', 'Tha Alkaholiks', 'Brand Nubian', 'EPMD', 'Smif-N-Wessun', 'Keith Murray', 'Nice & Smooth', 'Leaders of the New School', 'Black Moon', 'Grand Puba', 'Erick Sermon', 'Craig Mack', 'Jeru The Damaja', 'Def Squad', 'Black Sheep', 'Heltah Skeltah', 'Poor Righteous Teachers', 'Group Home', 'Pete Rock & C.L. Smooth', 'Onyx']"
Das Ich,"['Goethes Erben', 'Umbra et Imago', 'Feindflug', 'Die Form', 'Terminal Choice', 'Funker Vogt', 'In Strict Confidence', '[:SITD:]', ':Wumpscut:', 'Straftanz', ""L'âme Immortelle"", 'Welle: Erdball', 'Deine Lakaien', 'Agonoize', 'Soko Friedhof', 'Heimataerde', 'Project Pitchfork', 'Diorama', 'Suicide Commando', 'Veljanov']"
Das Koolies,"['Cian Ciaran', 'Ffa Coffi Pawb', 'The Pale Blue Dots', 'Acid Casuals', 'The Earth', 'Zefur Wolves', 'The Peth', 'Gruff Rhys', 'Neon Neon', 'Zabrinski', 'Euros Childs', 'Gulp', 'Melin Melyn', 'Bitw', 'Crinc', 'The Eggmen Whoooooo!', 'Ynys', ""Gorky's Zygotic Mynci"", 'Super Furry Animals', 'Radio Luxembourg']"
Daughter,"['Ex:Re', 'Keaton Henson', 'Lucy Rose', 'Ben Howard', 'James Vincent McMorrow', 'Bon Iver', 'London Grammar', 'RY X', 'Amber Run', 'Angus & Julia Stone', 'The xx', 'alt-J', 'Oh Wonder', 'The National', 'Foals', 'Bombay Bicycle Club', 'BANKS', 'Benjamin Francis Leftwich', 'Billie Marten', 'BROODS']"
Daughters,"['The Locust', 'Swans', 'Botch', 'Lightning Bolt', 'Lingua Ignota', 'Chat Pile', 'Zach Hill', 'Converge', 'Xiu Xiu', 'Hella', 'Liturgy', 'The Body', 'Street Sects', 'KEN Mode', 'Melt-Banana', 'Boris', 'Gaza', 'Slint', 'Full Of Hell', 'black midi']"
"Dave ""Baby"" Cortez","['B. Bumble & The Stingers', 'The String-A-Longs', ""Bill Black's Combo"", 'Sandy Nelson', 'Joey Dee & The Starliters', 'The T-Bones', 'Ernie Fields', 'Frankie Ford', 'Johnny & The Hurricanes', ""The Rockin' Rebels"", 'The Hunters', 'Preston Epps', 'Bobby Freeman', 'The Fireballs', 'The Essex', 'The Rivieras', 'Bobby Lewis', 'The Dovells', 'Freddy Cannon', 'Bill Black Combo']"
Dave Alvin,"['Jimmie Dale Gilmore', 'Joe Ely', 'Dave Alvin & Phil Alvin', 'The Blasters', 'Dave Alvin & The Guilty Men', 'Phil Alvin', 'The Flatlanders', 'Buddy Miller', 'Alejandro Escovedo', 'The Bottle Rockets', 'Tom Russell', 'James McMurtry', 'Gurf Morlix', 'Bill Kirchen', 'Buddy & Julie Miller', 'The Knitters', 'Jim Lauderdale', 'Doug Sahm', 'Chuck Prophet', 'Rodney Crowell']"
Dave Brock,"['Alan Davey', 'Hawkwind Zoo', 'Hawklords', 'Nik Turner', 'Inner City Unit', 'Robert Calvert', 'Space Ritual', 'Underground Zero', 'Psychedelic Warriors', 'Hawkestrel', 'Michael Moorcock & the Deep Fix', 'Huw Lloyd-Langton', 'Hawkwind Light Orchestra', 'Simon House', 'Spirits Burning', 'Harvey Bainbridge', 'Magic Mushroom Band', 'Dr Hasbeen', 'The Agents of Chaos', 'The Psychedelic Warlords']"
Dave Brubeck,"['The Dave Brubeck Quartet', 'Paul Desmond', 'Thelonious Monk', 'Charles Mingus', 'Dizzy Gillespie', 'Charlie Parker', 'Art Tatum', 'Cannonball Adderley', 'Sonny Rollins', 'Oscar Peterson Trio', 'Oscar Peterson', 'Art Blakey & The Jazz Messengers', 'Art Blakey', 'Miles Davis Quintet', 'Bill Evans Trio', 'Bill Evans', 'Dexter Gordon', 'Gerry Mulligan', 'The Modern Jazz Quartet', 'Miles Davis Quartet']"
Dave Dudley,"['Red Simpson', 'Del Reeves', 'Red Sovine', 'Boxcar Willie', 'Leroy Van Dyke', 'Linda Manning', 'Claude King', 'George Kent', 'Johnny Russell', 'Jim Ed Brown', 'Hawkshaw Hawkins', 'Carl Smith', 'Stonewall Jackson', 'Cal Smith', 'Ferlin Husky', 'Buddy Meredith', 'Henson Cargill', 'Hank Thompson', 'David Price', 'George Hamilton IV']"
Dave Edmunds,"['Rockpile', 'The Dave Edmunds Band', 'Graham Parker & The Rumour', 'Nick Lowe', 'Graham Parker', 'Brinsley Schwarz', 'Marshall Crenshaw', 'Ian Hunter', 'Dr. Feelgood', 'Elvis Costello & The Imposters', 'Billy Bremner', 'Tom Robinson Band', 'Rockpile', 'Southside Johnny And The Asbury Jukes', 'Mott The Hoople', 'The Inmates', 'Elvis Costello & The Attractions', 'Mickey Jupp', 'Chris Spedding', 'The Move']"
Dave Gahan,"['Martin Gore', 'Soulsavers', 'Recoil', 'Camouflage', 'Vince Clarke', 'De/Vision', 'VCMG', 'Stella Rose', 'Mesh', 'Nitzer Ebb', 'Andy Bell', 'Null+Void', 'HUMANIST', 'Peter Murphy', 'Wolfsheim', 'Front 242', 'Covenant', 'Cause & Effect', 'Yazoo', 'Visage']"
Dave Graney,"['Dave Graney', 'Tex, Don & Charlie', 'Tex Perkins & The Dark Horses', 'Nick Barker', 'The Blackeyed Susans', 'Tim Rogers & The Twin Set', 'Ed Kuepper', 'Died Pretty', 'Kim Salmon and the Surrealists', 'Falling Joys', 'Tex Perkins', 'Beasts Of Bourbon', 'The Fauves', 'Tall Tales & True', 'Underground Lovers', 'Jimmy Little', 'Tumbleweed', 'The Hummingbirds', 'Painters and Dockers']"
Dave Graney & The Coral Snakes,"['Dave Graney', 'Tex, Don & Charlie', 'Tex Perkins & The Dark Horses', 'Nick Barker', 'The Blackeyed Susans', 'Tim Rogers & The Twin Set', 'Ed Kuepper', 'Died Pretty', 'Kim Salmon and the Surrealists', 'Falling Joys', 'Tex Perkins', 'Beasts Of Bourbon', 'The Fauves', 'Tall Tales & True', 'Underground Lovers', 'Jimmy Little', 'Tumbleweed', 'The Hummingbirds', 'Painters and Dockers']"
Dave Holland,"['Dave Holland Quintet', 'Dave Holland Quartet', 'Jack DeJohnette', 'Gary Peacock', 'Paul Motian', 'Kenny Wheeler', 'John Abercrombie', 'Steve Swallow', 'Chris Potter', 'John Abercrombie Quartet', 'Dave Liebman', 'Charlie Haden', 'Joe Lovano', 'Peter Erskine', 'Marc Johnson', 'Miroslav Vitous', 'Paul Bley', 'Larry Grenadier', 'Roy Haynes', 'Christian McBride']"
Dave Hollister,"['Carl Thomas', 'Jesse Powell', 'Aaron Hall', 'Chico DeBarge', 'Public Announcement', 'Ruff Endz', 'LSG', 'Levert', 'Troop', 'Christopher Williams', 'Urban Mystic', 'Kevon Edmonds', 'Raheem DeVaughn', 'Mint Condition', 'Keith Washington', 'Gerald Levert', 'Shirley Murdock', 'Miki Howard', 'Kenny Lattimore', 'Syleena Johnson']"
Dave Mason,"['Jesse Colin Young', 'Poco', 'Pure Prairie League', 'Stephen Stills', 'Leon Russell', 'Loggins & Messina', 'JD Souther', 'Climax Blues Band', 'Firefall', 'Bob Welch', 'New Riders of the Purple Sage', 'Pablo Cruise', 'Manassas', 'Duane Allman', 'Dickey Betts', 'Atlanta Rhythm Section', 'Gary Wright', 'Gregg Allman', 'Traffic', 'The Youngbloods']"
